Suburb,Latitude,Longitude,Avg_SellPrice
Newtown,-33.896113,151.180189,1560527.43
Melrose Park,-33.815344,151.07333,1561900
Ashfield,-33.889478,151.127413,1564547.73
Frenchs Forest,-33.747995,151.229272,1567055.67
Forestville,-33.762089,151.215089,1570976.03
Wheeler Heights,-33.728687,151.280697,1572030.39
Kyeemagh,-33.94922,151.160737,1574950
Caringbah South,-34.055449,151.120594,1577545.45
Norwest,-33.733048,150.964298,1577833.33
Belrose,-33.730009,151.219144,1578885.01
South Turramurra,-33.751095,151.108467,1583500
North Epping,-33.758611,151.094167,1589080.83
Darlington,-33.890862,151.193216,1590451.22
Davidson,-33.739859,151.194222,1592533.33
Cromer,-33.738523,151.2763,1596492.22
Grasmere,-34.057958,150.670738,1623730.77
Croydon,-33.877794,151.11565,1632196.3
Alexandria,-33.909157,151.192128,1632451.05
North Ryde,-33.797547,151.127306,1633336.23
Chippendale,-33.886329,151.199821,1633833.33
Woolloomooloo,-33.871876,151.219222,1639750
Denistone East,-33.796284,151.098289,1642170.45
Kentlyn,-34.059167,150.869722,1647500
Oatley,-33.984188,151.074386,1648549.02
Ashbury,-33.900111,151.118072,1649604.84
Zetland,-33.907662,151.208218,1655891.3
Summer Hill,-33.893395,151.136873,1657989.58
Catherine Field,-33.992666,150.765025,1658142.86
Taren Point,-34.020018,151.122675,1659980
West Pennant Hills,-33.747836,151.035062,1662842.18
Allambie Heights,-33.770507,151.249675,1664814.81
Canada Bay,-33.864669,151.115155,1664965.52
Ryde,-33.812541,151.111572,1665236.8
Bilgola Plateau,-33.643809,151.315858,1666661.99
Elanora Heights,-33.699461,151.275059,1670285.33
Hurstville Grove,-33.977553,151.092958,1675593.43
North Strathfield,-33.858818,151.088578,1688733.33
Rozelle,-33.8645,151.174354,1689600.13
Epping,-33.771855,151.074537,1690488.34
East Ryde,-33.809702,151.135388,1693034.48
Rhodes,-33.829059,151.087358,1696545.45
St Ives Chase,-33.703056,151.165278,1697500
Berkshire Park,-33.681667,150.784444,1700000
Redfern,-33.893104,151.204029,1705595.55
Cattai,-33.548239,150.916405,1705714.29
Chifley,-33.970281,151.239487,1705917.45
Phillip Bay,-33.978789,151.232723,1715125
Chatswood West,-33.796003,151.159708,1720000
Glenorie,-33.565889,150.992784,1727567.6
Matraville,-33.963933,151.23342,1732430.56
North Turramurra,-33.69116,151.151937,1733333.33
Kirkham,-34.035134,150.711839,1739500
Pagewood,-33.936838,151.221694,1743740.38
Stanmore,-33.893669,151.165646,1747176.99
Lilyfield,-33.870988,151.161619,1756146.72
Eastwood,-33.79,151.084444,1768025
Rosebery,-33.918586,151.204692,1772162.34
Bella Vista,-33.741694,150.954718,1772745.2
La Perouse,-33.988759,151.231801,1773200
West Pymble,-33.764684,151.131899,1780086.92
Killarney Heights,-33.772484,151.221976,1782224.34
Forest Lodge,-33.880556,151.178333,1793734.04
Ultimo,-33.879473,151.198435,1802000
Five Dock,-33.869002,151.129023,1802591.11
Collaroy Plateau,-33.730384,151.291039,1807590.29
Glenhaven,-33.702738,151.000805,1807837.15
Surry Hills,-33.884512,151.21003,1813322.29
Dee Why,-33.753664,151.289995,1821407.52
Wareemba,-33.8575,151.131951,1825421.05
Homebush,-33.860451,151.080612,1836571.43
Blakehurst,-33.989852,151.10856,1837195.45
Windsor Downs,-33.656667,150.809444,1849466.67
Beecroft,-33.749763,151.065748,1857160.93
Terrey Hills,-33.691819,151.220591,1859944.9
Kogarah Bay,-33.981679,151.12397,1860888.89
Manly Vale,-33.783084,151.265994,1878254.72
Concord West,-33.843168,151.092056,1889716.49
Mona Vale,-33.676993,151.302958,1892775.66
Dural,-33.68764,151.02672,1894558.82
Annandale,-33.881224,151.170998,1896147.65
Yowie Bay,-34.050278,151.103333,1897642.86
Avalon Beach,-33.636504,151.32903,1926458.71
Glebe,-33.877778,151.186238,1934343.03
Connells Point,-33.986948,151.094273,1936206.47
Abbotsford,-33.850553,151.129759,1942397.44
Balgowlah,-33.794442,151.260826,1964462.6
Dolans Bay,-34.064442,151.128228,1969500
Darlinghurst,-33.878338,151.219225,1971518.35
Lane Cove North,-33.805927,151.161712,1973333.33
Maroubra,-33.945344,151.245682,1980451.36
Narrabeen,-33.71357,151.297816,1980913.97
Wahroonga,-33.720367,151.114246,1982380.72
Arcadia,-33.622729,151.06056,1982805.56
North Manly,-33.772904,151.270722,1986000
Crows Nest,-33.825565,151.20361,1999354.44
Lane Cove,-33.816067,151.16782,2003697.69
Mortlake,-33.841042,151.106111,2016750
Huntleys Cove,-33.838333,151.1375,2018600
Pyrmont,-33.869215,151.192363,2024722.22
Balmain,-33.858399,151.180735,2029022.58
Little Bay,-33.983431,151.247033,2037553.19
Turramurra,-33.735435,151.130065,2038909.41
Horsley Park,-33.838772,150.848463,2040250
Artarmon,-33.809412,151.185761,2043932.31
Gladesville,-33.8275,151.126389,2046002.24
St Ives,-33.725887,151.172721,2077333.94
Sandringham,-33.997124,151.140014,2079133.33
Brownlow Hill,-34.0369,150.6566,2080000
Kyle Bay,-33.989758,151.099217,2080296.35
Concord,-33.855672,151.106767,2093788.75
Maraylya,-33.591398,150.922128,2094503.33
Cheltenham,-33.756944,151.0775,2099013.1
Middle Cove,-33.792799,151.211247,2102460
Russell Lea,-33.858536,151.141601,2103205.1
Newport,-33.659106,151.316433,2108521.58
Naremburn,-33.817131,151.20203,2115020.8
Sylvania Waters,-34.018584,151.11228,2117771.6
Cronulla,-34.057526,151.152385,2120904.88
Kingsford,-33.921592,151.227231,2126286.26
Menangle Park,-34.103409,150.746849,2127500
Cecil Park,-33.892255,150.813552,2130000
Burwood Heights,-33.889444,151.103889,2140500
Fairlight,-33.793879,151.274147,2142645.57
Wollstonecraft,-33.833204,151.195927,2143403.51
North Balgowlah,-33.788146,151.250729,2155058.95
Burwood,-33.878475,151.104049,2179546.51
Cottage Point,-33.619516,151.203318,2226333.33
Bondi Junction,-33.893003,151.250123,2228135.7
Haberfield,-33.879433,151.139161,2239465.69
Malabar,-33.962978,151.248017,2250880
Middle Dural,-33.636741,151.012737,2265615.38
Neutral Bay,-33.834289,151.218205,2271122.73
Cammeray,-33.822274,151.213987,2288545.08
Birchgrove,-33.850769,151.183035,2290236.11
Putney,-33.826067,151.106422,2291133.33
Waverton,-33.838333,151.198689,2294697.74
Edgecliff,-33.879769,151.236112,2305309.52
Chiswick,-33.849834,151.137878,2318925.35
Sydney,-33.8688,151.2093,2325000
Lilli Pilli,-34.068073,151.115994,2335062.5
Roseville Chase,-33.774722,151.200278,2343878.38
Church Point,-33.650096,151.28531,2346516.13
Greenhills Beach,-34.036066,151.163291,2352176.47
Drummoyne,-33.852068,151.153689,2362721.42
Elizabeth Bay,-33.871691,151.228288,2383333.33
North Curl Curl,-33.763,151.290477,2395122.28
Willoughby,-33.806389,151.200278,2407414.22
Warrawee,-33.727973,151.123228,2424205.88
East Killara,-33.755482,151.1812,2447476.19
Lovett Bay,-33.6326,151.276362,2452666.67
Rodd Point,-33.865836,151.143583,2455868.18
Freshwater,-33.775099,151.284482,2459798.58
Waverley,-33.901937,151.255882,2474661.29
Burraneer,-34.06446,151.137791,2479276.6
Mount Vernon,-33.856667,150.809444,2479750
Bayview,-33.657685,151.286674,2484892.18
North Sydney,-33.835452,151.208301,2491916.67
Gordon,-33.75539,151.15181,2496773.89
Paddington,-33.884157,151.227277,2525249.16
Sackville North,-33.48166,150.884438,2550000
Curl Curl,-33.769834,151.289818,2554685.19
Randwick,-33.914121,151.241005,2554785.82
Chatswood,-33.79448,151.181857,2574691.18
Riverview,-33.823207,151.160013,2580875
Bringelly,-33.939351,150.730971,2581000
Pymble,-33.745019,151.142471,2599681.93
Kenthurst,-33.643668,150.976172,2608372.46
Kensington,-33.911719,151.219506,2610776.88
South Coogee,-33.933,151.259,2631607.69
Tennyson Point,-33.831382,151.116944,2639769.33
Greenwich,-33.83001,151.185562,2660852.24
Oakville,-33.625669,150.872209,2671666.67
East Lindfield,-33.768113,151.188336,2698167.47
Lindfield,-33.780291,151.159585,2700463.48
Annangrove,-33.657484,150.946008,2705670.45
Potts Point,-33.86708,151.225997,2712546.15
Ingleside,-33.688256,151.252501,2776250
Strathfield,-33.879129,151.081176,2789870.82
Willoughby East,-33.799167,151.206111,2796666.67
Collaroy,-33.738219,151.299662,2808620.25
Queens Park,-33.899167,151.247222,2810860.76
Kemps Creek,-33.872143,150.793898,2815833.33
Bondi Beach,-33.890698,151.272412,2816421.88
Balmain East,-33.857179,151.192354,2822153.85
Millers Point,-33.859913,151.204127,2831583.33
Cremorne,-33.826008,151.225433,2839650.83
North Willoughby,-33.794191,151.200416,2887750
Roseville,-33.782646,151.182726,2894962.26
Cabarita,-33.847503,151.115888,2917142.86
Balgowlah Heights,-33.807495,151.264992,2925699.92
Seaforth,-33.791079,151.243028,2987119.9
Castlecrag,-33.800346,151.21978,3025754.1
Coogee,-33.9217,151.255798,3037954.12
Bondi,-33.893056,151.263333,3039137.25
Killara,-33.766061,151.160112,3049394.9
Clareville,-33.632007,151.314532,3050333.33
North Bondi,-33.882351,151.276861,3055591.68
Rushcutters Bay,-33.875037,151.227656,3125000
Castle Cove,-33.786529,151.214319,3134437.1
Hunters Hill,-33.833617,151.144945,3143058.06
Clovelly,-33.912639,151.26179,3157844.44
Manly,-33.80385,151.290824,3178813.95
Whale Beach,-33.60968,151.330945,3182916.67
Rossmore,-33.948337,150.767775,3195909.09
Henley,-33.842382,151.136036,3201250
Cawdor,-34.099647,150.672651,3271666.67
Badgerys Creek,-33.904217,150.720282,3300000
Kangaroo Point,-34.002073,151.096713,3442500
Queenscliff,-33.782392,151.285401,3529203.16
Kurraba Point,-33.841587,151.223028,3530000
Clontarf,-33.8083,151.2534,3574454.55
Centennial Park,-33.897778,151.233889,3596166.67
Breakfast Point,-33.842277,151.111105,3609714.29
McMahons Point,-33.844339,151.202796,3622567.57
Northbridge,-33.811111,151.2175,3666445.95
Northwood,-33.827964,151.178269,3680703.7
Bilgola Beach,-33.644317,151.324484,3681666.67
Woollahra,-33.885797,151.244087,3693490.16
Palm Beach,-33.600547,151.323154,3828065.79
Kirribilli,-33.847666,151.215814,3845000
Cremorne Point,-33.840955,151.227976,3851600
Lavender Bay,-33.8432,151.207416,3919833.33
Dover Heights,-33.873983,151.281037,3938311.42
Duffys Forest,-33.673327,151.19278,3950000
Double Bay,-33.876637,151.24245,4038565.22
Bronte,-33.904213,151.263777,4044916.67
Rose Bay,-33.874164,151.265471,4108439.49
Mosman,-33.830136,151.244766,4310065.6
Longueville,-33.829167,151.168611,4537566.67
Linley Point,-33.827222,151.15,4650000
St Leonards,-33.822567,151.19234,5195400
Woolwich,-33.840199,151.171061,5325000
Darling Point,-33.873072,151.237638,5371800
Watsons Bay,-33.843274,151.282574,5422500
Tamarama,-33.898745,151.271075,6215833.33
Vaucluse,-33.855856,151.276102,6312705.43
Bellevue Hill,-33.879712,151.256199,6678150.6
Collaroy Beach,-33.7315,151.3002,8250000
Point Piper,-33.867628,151.251573,10400000
