,Australia daily,Australia_whole,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,China daily,China_whole,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,Denmark daily,Denmark_whole,Denmark,Denmark,Denmark,Indonesia daily,Indonesia,Ireland daily,Ireland,Japan daily,Japan,Portugal daily,Portugal,Singapore daily,Singapore,Spain daily,Spain,Turkey daily,Turkey,US daily,US,United Arab Emirates daily,United Arab Emirates,UK daily,UK_whole,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,Uruguay daily,Uruguay
5/24/21,0,910,3,54,0,7,4,13,820,9,0,4846,6,9,6,1,2,8,2,2,6,7,13,22,210,4512,4,1,0,1,3,2,0,0,0,3,7,7,0,3,3,0,0,3,2,1,1,2510,1,0,2509,127,49455,0,4941,86,12351,1,17018,0,32,91,79711,178,46446,446,590133,3,1654,3,127986,0,32,1,2,86,0,94,29,1,0,17,127724,51,3922
5/25/21,0,910,3,54,0,7,4,13,820,9,0,4846,6,9,6,1,2,8,2,2,6,7,13,22,210,4512,4,1,0,1,3,2,0,0,0,3,7,7,0,3,3,0,0,3,2,1,1,2511,1,0,2510,172,49627,0,4941,106,12457,3,17021,0,32,90,79801,175,46621,635,590768,4,1658,15,128001,0,32,1,2,86,0,94,29,1,0,17,127739,51,3973
5/26/21,0,910,3,54,0,7,4,13,820,9,0,4846,6,9,6,1,2,8,2,2,6,7,13,22,210,4512,4,1,0,1,3,2,0,0,0,3,7,7,0,3,3,0,0,3,2,1,1,2512,1,0,2511,144,49771,0,4941,116,12573,1,17022,0,32,54,79855,166,46787,979,591747,3,1661,9,128010,0,32,1,2,86,0,94,29,1,0,17,127748,49,4022
5/27/21,0,910,3,54,0,7,4,13,820,9,0,4846,6,9,6,1,2,8,2,2,6,7,13,22,210,4512,4,1,0,1,3,2,0,0,0,3,7,7,0,3,3,0,0,3,2,1,0,2512,1,0,2511,136,49907,0,4941,118,12691,0,17022,0,32,33,79888,183,46970,1362,593109,3,1664,10,128020,0,32,1,2,86,0,94,29,1,0,17,127758,44,4066
5/28/21,0,910,3,54,0,7,4,13,820,9,0,4846,6,9,6,1,2,8,2,2,6,7,13,22,210,4512,4,1,0,1,3,2,0,0,0,3,7,7,0,3,3,0,0,3,2,1,1,2513,1,0,2512,193,50100,0,4941,95,12786,1,17023,0,32,17,79905,164,47134,563,593672,4,1668,10,128030,0,32,1,2,86,0,94,29,1,0,17,127768,52,4118
5/29/21,0,910,3,54,0,7,4,13,820,9,0,4846,6,9,6,1,2,8,2,2,6,7,13,22,210,4512,4,1,0,1,3,2,0,0,0,3,7,7,0,3,3,0,0,3,2,1,4,2517,1,0,2516,162,50262,0,4941,91,12877,0,17023,0,32,0,79905,137,47271,333,594005,5,1673,7,128037,0,32,1,2,86,0,94,29,1,0,17,127775,58,4176
5/30/21,0,910,3,54,0,7,4,13,820,9,0,4846,6,9,6,1,2,8,2,2,6,7,13,22,210,4512,4,1,0,1,3,2,0,0,0,3,7,7,0,3,3,0,0,3,2,1,0,2517,1,0,2516,142,50404,0,4941,49,12926,0,17023,1,33,0,79905,134,47405,135,594140,4,1677,6,128043,0,32,1,2,86,0,94,29,1,0,17,127781,37,4213
5/31/21,0,910,3,54,0,7,4,13,820,9,0,4846,6,9,6,1,2,8,2,2,6,7,13,22,210,4512,4,1,0,1,3,2,0,0,0,3,7,7,0,3,3,0,0,3,2,1,0,2517,1,0,2516,174,50578,0,4941,80,13006,2,17025,0,33,48,79953,122,47527,153,594293,3,1680,2,128045,0,33,1,2,86,0,94,29,1,0,17,127782,63,4276
6/1/21,0,910,3,54,0,7,4,13,820,9,0,4846,6,9,6,1,2,8,2,2,6,7,13,22,210,4512,4,1,0,1,3,2,0,0,0,3,7,7,0,3,3,0,0,3,2,1,0,2517,1,0,2516,145,50723,0,4941,101,13107,0,17025,0,33,30,79983,129,47656,651,594944,4,1684,0,128045,0,33,1,2,86,0,94,29,1,0,17,127782,66,4342
6/2/21,0,910,3,54,0,7,4,13,820,9,0,4846,6,9,6,1,2,8,2,2,6,7,13,22,210,4512,4,1,0,1,3,2,0,0,0,3,7,7,0,3,3,0,0,3,2,1,0,2517,1,0,2516,185,50908,0,4941,113,13220,1,17026,0,33,66,80049,112,47768,559,595503,2,1686,12,128057,0,33,1,2,86,0,94,29,1,0,17,127794,52,4394
6/3/21,0,910,3,54,0,7,4,13,820,9,0,4846,6,9,6,1,2,8,2,2,6,7,13,22,210,4512,4,1,0,1,3,2,0,0,0,3,7,7,0,3,3,0,0,3,2,1,1,2518,1,0,2517,187,51095,0,4941,111,13331,3,17029,0,33,0,80049,114,47882,619,596122,3,1689,18,128075,0,33,1,2,86,0,94,29,1,0,17,127812,66,4460
6/4/21,0,910,3,54,0,7,4,13,820,9,0,4846,6,9,6,1,2,8,2,2,6,7,13,22,210,4512,4,1,0,1,3,2,0,0,0,3,7,7,0,3,3,0,0,3,2,1,0,2518,1,0,2517,201,51296,0,4941,86,13417,0,17029,0,33,146,80195,94,47976,527,596649,2,1691,11,128086,0,33,1,2,86,0,94,29,1,0,17,127823,56,4516
6/5/21,0,910,3,54,0,7,4,13,820,9,0,4846,6,9,6,1,2,8,2,2,6,7,13,22,210,4512,4,1,0,1,3,2,0,0,0,3,7,7,0,3,3,0,0,3,2,1,1,2519,1,0,2518,153,51449,0,4941,64,13481,3,17032,0,33,1,80196,92,48068,385,597034,5,1696,13,128099,0,33,1,2,86,0,94,29,1,0,17,127836,67,4583
6/6/21,0,910,3,54,0,7,4,13,820,9,0,4846,6,9,6,1,2,8,2,2,6,7,13,22,210,4512,4,1,0,1,3,2,0,0,0,3,7,7,0,3,3,0,0,3,2,1,0,2519,1,0,2518,163,51612,0,4941,50,13531,2,17034,0,33,0,80196,96,48164,172,597206,3,1699,4,128103,0,33,1,2,86,0,94,29,1,0,17,127840,57,4640
6/7/21,0,910,3,54,0,7,4,13,820,9,0,4846,6,9,6,1,2,8,2,2,6,7,13,22,210,4512,4,1,0,1,3,2,0,0,0,3,7,7,0,3,3,0,0,3,2,1,2,2521,1,0,2520,191,51803,0,4941,75,13606,2,17036,0,33,40,80236,91,48255,318,597524,3,1702,1,128104,0,33,1,2,86,0,94,29,1,0,17,127841,52,4692
6/8/21,0,910,3,54,0,7,4,13,820,9,0,4846,6,9,6,1,2,8,2,2,6,7,13,22,210,4512,4,1,0,1,3,2,0,0,0,3,7,7,0,3,3,0,0,3,2,1,0,2521,1,0,2520,189,51992,0,4941,99,13705,1,17037,1,34,73,80309,86,48341,342,597866,2,1704,14,128118,0,33,1,2,86,0,94,29,1,0,18,127854,57,4749
6/9/21,0,910,3,54,0,7,4,13,820,9,0,4846,6,9,6,1,2,8,2,2,6,7,13,22,210,4512,4,1,0,1,3,2,0,0,0,3,7,7,0,3,3,0,0,3,2,1,0,2521,1,0,2520,170,52162,0,4941,96,13801,0,17037,0,34,23,80332,87,48428,451,598317,6,1710,6,128124,0,33,1,2,86,0,94,29,1,0,18,127860,67,4816
6/10/21,0,910,3,54,0,7,4,13,820,9,0,4846,6,9,6,1,2,8,2,2,6,7,13,22,210,4512,4,1,0,1,3,2,0,0,0,3,7,7,0,3,3,0,0,3,2,1,2,2523,1,0,2522,211,52373,0,4941,71,13872,6,17043,0,34,133,80465,96,48524,433,598750,0,1710,7,128131,0,33,1,2,86,0,94,29,1,0,18,127867,46,4862
6/11/21,0,910,3,54,0,7,4,13,820,9,0,4846,6,9,6,1,2,8,2,2,6,7,13,22,210,4512,4,1,0,1,3,2,0,0,0,3,7,7,0,3,3,0,0,3,2,1,1,2524,1,0,2523,193,52566,0,4941,64,13936,1,17044,0,34,36,80501,69,48593,651,599401,10,1720,17,128148,0,33,1,2,86,0,94,29,1,0,18,127884,44,4906
6/12/21,0,910,3,54,0,7,4,13,820,9,0,4846,6,9,6,1,2,8,2,2,6,7,13,22,210,4512,4,1,0,1,3,2,0,0,0,3,7,7,0,3,3,0,0,3,2,1,2,2526,1,0,2525,164,52730,0,4941,55,13991,1,17045,0,34,0,80501,75,48668,294,599695,4,1724,12,128160,0,33,1,2,86,0,94,29,1,0,18,127896,50,4956
6/13/21,0,910,3,54,0,7,4,13,820,9,0,4846,6,9,6,1,2,8,2,2,6,7,13,22,210,4512,4,1,0,1,3,2,0,0,0,3,7,7,0,3,3,0,0,3,2,1,0,2526,1,0,2525,149,52879,0,4941,32,14023,2,17047,0,34,0,80501,53,48721,114,599809,2,1726,8,128168,0,33,1,2,86,0,94,29,1,0,18,127904,39,4995
6/14/21,0,910,3,54,0,7,4,13,820,9,0,4846,6,9,6,1,2,8,2,2,6,7,13,22,210,4512,4,1,0,1,3,2,0,0,0,3,7,7,0,3,3,0,0,3,2,1,1,2527,1,0,2526,237,53116,0,4941,60,14083,0,17047,0,34,16,80517,74,48795,181,599990,4,1730,3,128171,0,33,1,2,86,0,94,29,1,0,18,127907,41,5036
6/15/21,0,910,3,54,0,7,4,13,820,9,0,4846,6,9,6,1,2,8,2,2,6,7,13,22,210,4512,4,1,0,1,3,2,0,0,0,3,7,7,0,3,3,0,0,3,2,1,1,2528,1,0,2527,164,53280,0,4941,67,14150,2,17049,0,34,62,80579,84,48879,321,600311,4,1734,10,128181,0,33,1,2,86,0,94,29,1,0,18,127917,53,5089
6/16/21,0,910,3,54,0,7,4,13,820,9,0,4846,6,9,6,1,2,8,2,2,6,7,13,22,210,4512,4,1,0,1,3,2,0,0,0,3,7,7,0,3,3,0,0,3,2,1,0,2528,1,0,2527,196,53476,0,4941,80,14230,6,17055,0,34,36,80615,71,48950,377,600688,4,1738,9,128190,0,33,1,2,86,0,94,29,1,0,18,127926,31,5120
6/17/21,0,910,3,54,0,7,4,13,820,9,0,4846,6,9,6,1,2,8,2,2,6,7,13,22,210,4512,4,1,0,1,3,2,0,0,0,3,7,7,0,3,3,0,0,3,2,1,1,2529,1,0,2528,277,53753,38,4979,47,14277,2,17057,0,34,19,80634,62,49012,286,600974,3,1741,19,128209,0,33,1,2,86,0,94,29,1,0,18,127945,32,5152
6/18/21,0,910,3,54,0,7,4,13,820,9,0,4846,6,9,6,1,2,8,2,2,6,7,13,22,210,4512,4,1,0,1,3,2,0,0,0,3,7,7,0,3,3,0,0,3,2,1,0,2529,1,0,2528,290,54043,0,4979,48,14325,4,17061,0,34,18,80652,59,49071,600,601574,6,1747,11,128220,0,33,1,2,86,0,94,29,1,0,18,127956,55,5207
